"type","ABV","Rating","NReviews","brewery","name","LocationProvince","LocationCity","country","Seasonal","IBU","address","lon","lat"
"Black India Pale Ale",6,72,6,"red truck","Red Truck Cascadian Dark Ale","British Columbia","Vancouver","Canada","Special",NA,"295 E 1st Ave, Vancouver, BC V5T 1A7, Canada",-123.096484,49.268608
"Pale Strong Ale",NA,64.6,7,"red truck","Red Truck Golden Belgian Ale","British Columbia","Vancouver","Canada","Special",NA,"295 E 1st Ave, Vancouver, BC V5T 1A7, Canada",-123.096484,49.268608
"India Pale Ale",6.5,66.2,11,"red truck","Red Truck IPA","British Columbia","Vancouver","Canada",NA,NA,"295 E 1st Ave, Vancouver, BC V5T 1A7, Canada",-123.096484,49.268608
"Pale Lager",5,57.6,25,"red truck","Red Truck Lager","British Columbia","Vancouver","Canada",NA,NA,"295 E 1st Ave, Vancouver, BC V5T 1A7, Canada",-123.096484,49.268608
"Ale",6,59.2,6,"red truck","Red Truck Ridin  Shotgun Belgian Blonde Ale","British Columbia","Vancouver","Canada","Special",25,"295 E 1st Ave, Vancouver, BC V5T 1A7, Canada",-123.096484,49.268608
"Tripel",9.5,55.2,7,"red truck","Red Truck Three on the Tree Belgian Tripel","British Columbia","Vancouver","Canada","Spring",23,"295 E 1st Ave, Vancouver, BC V5T 1A7, Canada",-123.096484,49.268608
"Golden Ale/Blond Ale",5,51.9152173913044,23,"russell","Blonde Ale","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Pale Ale",NA,60,7,"russell","Chambar Ale","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Mild Ale",5,55.9916666666667,60,"russell","Cream Ale","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Pale Ale",5,55.6,6,"russell","Guuud! Ale","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Ale",5,62.8,15,"russell","Luck of the Irish","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Pale Lager",NA,74.5,9,"russell","Main Street Pilsner","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Mrzen / Oktoberfest",5.5,65.2,28,"russell","Marzen","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Pale Ale",5.7,59.6193548387097,31,"russell","Pale Ale","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"India Pale Ale",6.5,74.8,10,"russell","Russell 19th Anniversary IP G Day Australian Hopped IPA","British Columbia","Surrey","Canada","Special",53,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Scotch Ale",6.5,66,22,"russell","Russell 6.26 17th Anniversary Scotch Ale","British Columbia","Surrey","Canada","Special",30,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Scotch Ale",6.5,65,81,"russell","Russell A Wee Angry Scotch Ale","British Columbia","Surrey","Canada","Special",30,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Porter",6.5,63.8928571428571,91,"russell","Russell Black Death","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Extra Special Bitter",27.75,69.7006711409396,149,"russell","Blood Alley Bitter","British Columbia","Surrey","Canada","Special",50,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Barley Wine",10,65.8,13,"russell","Russell Brewmaster Series Truth Serum Wheat Wine Ale","British Columbia","Surrey","Canada","Special",70,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Wheat Ale",6,72.2171052631579,38,"russell","White Rabbit","British Columbia","Surrey","Canada","Winter",NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Fruit Beer",5,38.8,10,"russell","Russell Cactus Lime Lager","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Pilsner",5,65.4705882352941,34,"russell","Eastern Promises","British Columbia","Surrey","Canada",NA,35,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Premium Lager",5,49.9,24,"russell","Russell Extra Special Lager","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Imperial India Pale Ale",9,73.8074468085106,94,"russell","Hop Therapy","British Columbia","Surrey","Canada",NA,100,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"India Pale Ale",6.5,63.2,81,"russell","Russell IP eh","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Fruit Beer",NA,44.1230769230769,26,"russell","Russell Lemon Ale","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Porter",6.5,67.4090909090909,44,"russell","Naughty & Spiced Porter","British Columbia","Surrey","Canada","Winter",30,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Barley Wine",9.3,66,12,"russell","Russell Nautical Disaster Barleywine","British Columbia","Surrey","Canada","Special",60,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Barley Wine",10,67.6,25,"russell","Russell Nectar of the Gods Wheat Wine","British Columbia","Surrey","Canada","Special",70,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"India Pale Ale",6.5,72.6,20,"russell","Punch bowl","British Columbia","Surrey","Canada",NA,65,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Imperial Stout",10.8,73.2,16,"russell","Russell Rick August Russian Imperial Stout","British Columbia","Surrey","Canada","Special",86,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Pilsner",5,47.6695652173913,23,"russell","Russell Rocky Mountain Pilsner","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Smoked",5.3,62.3045454545455,66,"russell","Smokey The Beer","British Columbia","Surrey","Canada",NA,28,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Porter",6.5,64.4,8,"russell","Russell St. Nick s Oaked Spiced Porter","British Columbia","Surrey","Canada","Special",NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Porter",7.5,59,13,"russell","Russell Winter Porter","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Scotch Ale",8.5,66.8,33,"russell","Russell/Storm Big Smoke Ale","British Columbia","Surrey","Canada","Special",40,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Scotch Ale",NA,73.75,75,"russell","Russell Angry Scotch Ale","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"India Pale Ale",NA,66,73,"russell","Russell IP'eh!","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"India Pale Ale",NA,75.25,9,"russell","Russell IPG'Day","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Fruit Beer",NA,32.25,8,"russell","Russell Lime Lager","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Mrzen / Oktoberfest",NA,69.5,20,"russell","Russell Mrzen","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Saison / Farmhouse Ale",NA,60.25,7,"russell","Summer Daze Saison","British Columbia","Surrey","Canada",NA,NA,"13018 80 Ave, Surrey, BC V3W 2B2, Canada",-122.8620366,49.147866
"Hefeweizen",4.75,66.6,42,"sailor hagars","Sailor Hagars Belgian Wit","British Columbia","North Vancouver","Canada",NA,NA,"86 Semisch Ave, North Vancouver, BC V7M 3H8, Canada",-123.0831487,49.3134561
"India Pale Ale",6,66.4,68,"sailor hagars","Sailor Hagars Bengal IPA","British Columbia","North Vancouver","Canada",NA,NA,"86 Semisch Ave, North Vancouver, BC V7M 3H8, Canada",-123.0831487,49.3134561
"Brown Ale",4.3,58.2,24,"sailor hagars","Sailor Hagars Grizzly Nut Brown","British Columbia","North Vancouver","Canada",NA,NA,"86 Semisch Ave, North Vancouver, BC V7M 3H8, Canada",-123.0831487,49.3134561
"Pilsner",4.5,54,20,"sailor hagars","Sailor Hagars Honey Pilsner","British Columbia","North Vancouver","Canada",NA,NA,"86 Semisch Ave, North Vancouver, BC V7M 3H8, Canada",-123.0831487,49.3134561
"Extra Special Bitter",5.4,65.2,52,"sailor hagars","Sailor Hagars Lohins ESB","British Columbia","North Vancouver","Canada",NA,NA,"86 Semisch Ave, North Vancouver, BC V7M 3H8, Canada",-123.0831487,49.3134561
"Pale Ale",4.1,61.6,13,"sailor hagars","Sailor Hagars Narwhal Pale Ale","British Columbia","North Vancouver","Canada",NA,NA,"86 Semisch Ave, North Vancouver, BC V7M 3H8, Canada",-123.0831487,49.3134561
"Pale Ale",4.1,61.6,13,"sailor hagars","Sailor Hagars Narwhal Pale Ale","British Columbia","North Vancouver","Canada",NA,NA,"86 Semisch Ave, North Vancouver, BC V7M 3H8, Canada",-123.0831487,49.3134561
"Spice/Herb/Vegetable/Gruit",6.5,65.4,51,"steamworks canada","Steamworks (Great) Pumpkin Ale","British Columbia","Vancouver","Canada","Autumn",16,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Smoked",6.5,69.9333333333333,18,"steamworks canada","Steamworks / Brassneck Firewalker Smokey Porter","British Columbia","Vancouver","Canada","Special",40,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Spice/Herb/Vegetable/Gruit",5,63.8,15,"steamworks canada","Steamworks / New Belgium Rollin  Golden Belgian Ale","British Columbia","Vancouver","Canada","Special",NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Black India Pale Ale",7,72.6,6,"steamworks canada","Steamworks Black Angel IPA","British Columbia","Vancouver","Canada","Autumn",70,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Tripel",9,65.6,53,"steamworks canada","Steamworks Blitzen Christmas Ale","British Columbia","Vancouver","Canada","Winter",NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Cream Ale",NA,60.4,21,"steamworks canada","Steamworks Cascadia Cream Ale","British Columbia","Vancouver","Canada",NA,NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Porter",NA,62.6,27,"steamworks canada","Steamworks Coal Porter","British Columbia","Vancouver","Canada",NA,NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"India Pale Ale",NA,58.8,67,"steamworks canada","Steamworks Empress India Pale Ale","British Columbia","Vancouver","Canada",NA,NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Imperial Stout",8,74.6,21,"steamworks canada","Steamworks Espresso Stout (formerly The Steamworks Grand)","British Columbia","Vancouver","Canada","Special",NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Fruit Beer",7,61.8,13,"steamworks canada","Steamworks Framboz n (2014- )","British Columbia","Vancouver","Canada","Summer",NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Spice/Herb/Vegetable/Gruit",NA,61.4,10,"steamworks canada","Steamworks Ginger Beer","British Columbia","Vancouver","Canada","Spring",NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Hefeweizen",NA,62.6,26,"steamworks canada","Steamworks Hefeweizen (Skinny Tire)","British Columbia","Vancouver","Canada","Winter",NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Stout",NA,61.4,52,"steamworks canada","Steamworks Heroica Oatmeal Stout","British Columbia","Vancouver","Canada",NA,NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Amber / Red Ale",5.6,65.2,7,"steamworks canada","Steamworks Heroica Red Ale","British Columbia","Vancouver","Canada","Autumn",45,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Hefeweizen",NA,61,34,"steamworks canada","Steamworks Ipanema Summer White","British Columbia","Vancouver","Canada","Summer",NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"India Pale Ale",6.5,66.4,24,"steamworks canada","Steamworks Jasmine IPA","British Columbia","Vancouver","Canada","Special",60,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Kolsch",5,60.8,10,"steamworks canada","Steamworks Kanadische K lsch","British Columbia","Vancouver","Canada","Summer",22,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Spice/Herb/Vegetable/Gruit",4.7,57.4,8,"steamworks canada","Steamworks Killer Cucumber Ale","British Columbia","Vancouver","Canada","Spring",NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Pale Lager",NA,50.6,40,"steamworks canada","Steamworks Lions Gate Lager","British Columbia","Vancouver","Canada",NA,NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Brown Ale",NA,58.6,40,"steamworks canada","Steamworks Nirvana Nut Brown Ale","British Columbia","Vancouver","Canada",NA,NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"India Pale Ale",NA,68.6,26,"steamworks canada","Steamworks NXNW IPA","British Columbia","Vancouver","Canada",NA,NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Pilsner",5,66.2,59,"steamworks canada","Steamworks Pilsner","British Columbia","Vancouver","Canada",NA,30,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Specialty Grain",5,62.8,13,"steamworks canada","Steamworks RoggenWeizen","British Columbia","Vancouver","Canada","Spring",NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Pale Ale",5.2,59.8,107,"steamworks canada","Steamworks Signature Pale Ale","British Columbia","Vancouver","Canada",NA,35,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Fruit Beer",8,62.8,16,"steamworks canada","Steamworks Sour Cherry Ale","British Columbia","Vancouver","Canada","Winter",NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"India Pale Ale",7,74.4,6,"steamworks canada","Steamworks Southern Hemisphere IPA","British Columbia","Vancouver","Canada","Special",NA,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Strong Ale",8.5,71.6,12,"steamworks canada","Steamworks Steam Pump Imperial Red","British Columbia","Vancouver","Canada",NA,75,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"India Pale Ale",6.5,67.8,8,"steamworks canada","Steamworks White Angel IPA","British Columbia","Vancouver","Canada","Spring",60,"375 Water St, Vancouver, BC V6B 1B8, Canada",-123.1104305,49.284636
"Grodziskie/Gose/Lichtenhainer",4,65.2,9,"steel and oak","Four Winds / Steel & Oak Gr tzer","British Columbia","New Westminster","Canada",NA,8,"1319 3rd Ave, New Westminster, BC V3M 1R2, Canada",-122.9272102,49.2021832
"Pale Ale",5,62.4444444444444,9,"steel and oak","Pale Ale","British Columbia","New Westminster","Canada",NA,NA,"1319 3rd Ave, New Westminster, BC V3M 1R2, Canada",-122.9272102,49.2021832
"Extra Special Bitter",4.6,60.2222222222222,9,"steel and oak","Dry-Hopped ESB","British Columbia","New Westminster","Canada",NA,40,"1319 3rd Ave, New Westminster, BC V3M 1R2, Canada",-122.9272102,49.2021832
"Amber / Red Ale",5,62,8,"steel and oak","Steel & Oak Red Pilsner","British Columbia","New Westminster","Canada",NA,NA,"1319 3rd Ave, New Westminster, BC V3M 1R2, Canada",-122.9272102,49.2021832
"Specialty Grain",NA,63.2,9,"steel and oak","Steel & Oak Roggenweizen","British Columbia","New Westminster","Canada",NA,NA,"1319 3rd Ave, New Westminster, BC V3M 1R2, Canada",-122.9272102,49.2021832
"Smoked",5.4,65.7916666666667,12,"steel and oak","Smoked Hefeweizen","British Columbia","New Westminster","Canada",NA,NA,"1319 3rd Ave, New Westminster, BC V3M 1R2, Canada",-122.9272102,49.2021832
"Smoked",5.5,63.75,6,"steel and oak","Smoked Lager","British Columbia","New Westminster","Canada",NA,22,"1319 3rd Ave, New Westminster, BC V3M 1R2, Canada",-122.9272102,49.2021832
"Golden Ale/Blond Ale",5,52,6,"steel toad","Steel Toad American Blonde","British Columbia","Vancouver","Canada",NA,NA,"97 E 2nd Ave, Vancouver, BC V5T 1B3, Canada",-123.1032707,49.2693876
"Berliner Weissbier",4.5,65,6,"steel toad","Steel Toad Berliner Weisse","British Columbia","Vancouver","Canada",NA,NA,"97 E 2nd Ave, Vancouver, BC V5T 1B3, Canada",-123.1032707,49.2693876
"India Pale Ale",6,67,6,"steel toad","Steel Toad East Coast Rye IPA","British Columbia","Vancouver","Canada",NA,NA,"97 E 2nd Ave, Vancouver, BC V5T 1B3, Canada",-123.1032707,49.2693876
"Stout",6,64.8,8,"steel toad","Steel Toad Oatmeal Stout","British Columbia","Vancouver","Canada",NA,NA,"97 E 2nd Ave, Vancouver, BC V5T 1B3, Canada",-123.1032707,49.2693876
"Bitter",4,62,7,"steel toad","Steel Toad Yorkshire Best Bitter","British Columbia","Vancouver","Canada",NA,NA,"97 E 2nd Ave, Vancouver, BC V5T 1B3, Canada",-123.1032707,49.2693876
"Stout",8,67.2,26,"storm bc","Storm Black Plague Stout","British Columbia","Vancouver","Canada",NA,NA,"310 Commercial Dr, Vancouver, BC, Canada",-123.07021,49.2820037
"Spice/Herb/Vegetable/Gruit",5,66.6,7,"storm bc","Storm Granny Smith Apple Pie","British Columbia","Vancouver","Canada","Special",NA,"310 Commercial Dr, Vancouver, BC, Canada",-123.07021,49.2820037
"Scotch Ale",5,59.6,20,"storm bc","Storm Highland Scottish Ale","British Columbia","Vancouver","Canada",NA,NA,"310 Commercial Dr, Vancouver, BC, Canada",-123.07021,49.2820037
"India Pale Ale",7,64.8,32,"storm bc","Storm Hurricane IPA","British Columbia","Vancouver","Canada",NA,NA,"310 Commercial Dr, Vancouver, BC, Canada",-123.07021,49.2820037
"Sour Red/Brown",12.5,73.2166666666667,36,"storm bc","Storm Imperial Flanders Red Ale","British Columbia","Vancouver","Canada","Special",NA,"310 Commercial Dr, Vancouver, BC, Canada",-123.07021,49.2820037
"Pilsner",5,62.6,12,"storm bc","Storm Precipitation Pilsener","British Columbia","Vancouver","Canada",NA,NA,"310 Commercial Dr, Vancouver, BC, Canada",-123.07021,49.2820037
"Spice/Herb/Vegetable/Gruit",5,56.8,7,"storm bc","Storm Rootbeer (Root of all Evil Stout)","British Columbia","Vancouver","Canada","Special",NA,"310 Commercial Dr, Vancouver, BC, Canada",-123.07021,49.2820037
"Stout",8.5,68,11,"storm bc","Storm Vanilla Whiskey Stout","British Columbia","Vancouver","Canada","Special",NA,"310 Commercial Dr, Vancouver, BC, Canada",-123.07021,49.2820037
"Saison / Farmhouse Ale",6.5,61,6,"strange fellows","Strange Fellows Bayard Saison","British Columbia","Vancouver","Canada","Special",NA,"1345 Clark Dr, Vancouver, BC V5L 3K9, Canada",-123.0776691,49.2723686
"Bire de Garde",6,66.28125,8,"strange fellows","Biere De Garde","British Columbia","Vancouver","Canada",NA,NA,"1345 Clark Dr, Vancouver, BC V5L 3K9, Canada",-123.0776691,49.2723686
"Hefeweizen",4.5,58,8,"strange fellows","Strange Fellows Jongleur Belgian Wit","British Columbia","Vancouver","Canada",NA,NA,"1345 Clark Dr, Vancouver, BC V5L 3K9, Canada",-123.0776691,49.2723686
"Black India Pale Ale",6.5,65,10,"strange fellows","Strange Fellows Nocturnum Dark IPA","British Columbia","Vancouver","Canada",NA,NA,"1345 Clark Dr, Vancouver, BC V5L 3K9, Canada",-123.0776691,49.2723686
"Pale Ale",4.2,67.8,9,"strange fellows","Strange Fellows Talisman West Coast Pale Ale","British Columbia","Vancouver","Canada",NA,NA,"1345 Clark Dr, Vancouver, BC V5L 3K9, Canada",-123.0776691,49.2723686
"Oud Bruin",NA,78.5,8,"yaletown","Oud Bruin","British Columbia","Vancouver","Canada",NA,NA,"1111 Mainland St, Vancouver, BC V6B 2T9, Canada",-123.1206204,49.2755161
"India Pale Ale",5.4,70.6,25,"yaletown","Brick and Beam IPA","British Columbia","Vancouver","Canada",NA,NA,"1111 Mainland St, Vancouver, BC V6B 2T9, Canada",-123.1206204,49.2755161
"Brown Ale",NA,61.55,45,"yaletown","Downtown Brown","British Columbia","Vancouver","Canada",NA,NA,"1111 Mainland St, Vancouver, BC V6B 2T9, Canada",-123.1206204,49.2755161
"Tripel",9,66.9,15,"yaletown","Le Nez Rouge","British Columbia","Vancouver","Canada","Winter",NA,"1111 Mainland St, Vancouver, BC V6B 2T9, Canada",-123.1206204,49.2755161
"Pale Lager",4.8,50.8,28,"yaletown","Yaletown Mainland Lager","British Columbia","Vancouver","Canada",NA,NA,"1111 Mainland St, Vancouver, BC V6B 2T9, Canada",-123.1206204,49.2755161
"India Pale Ale",NA,67.5,18,"yaletown","Brick & Beam IPA","British Columbia","Vancouver","Canada",NA,NA,"1111 Mainland St, Vancouver, BC V6B 2T9, Canada",-123.1206204,49.2755161
"Hefeweizen",NA,73.75,13,"yaletown","Hills Special Wheat","British Columbia","Vancouver","Canada",NA,NA,"1111 Mainland St, Vancouver, BC V6B 2T9, Canada",-123.1206204,49.2755161
"Pale Lager",NA,62.5,6,"yaletown","Mainland Lager","British Columbia","Vancouver","Canada",NA,NA,"1111 Mainland St, Vancouver, BC V6B 2T9, Canada",-123.1206204,49.2755161
"Pale Ale",NA,69,11,"yaletown","Nagila Pale Ale","British Columbia","Vancouver","Canada",NA,NA,"1111 Mainland St, Vancouver, BC V6B 2T9, Canada",-123.1206204,49.2755161
"Stout",NA,65.5,9,"yaletown","Warehouse Stout","British Columbia","Vancouver","Canada",NA,NA,"1111 Mainland St, Vancouver, BC V6B 2T9, Canada",-123.1206204,49.2755161
"Pale Ale",5.5,65.6870967741935,31,"yellow dog","Chase My Tail Pale Ale","British Columbia","Port Moody","Canada","Special",NA,"2817 Murray St #1, Port Moody, BC V3H 1X3, Canada",-122.8487,49.27863
"India Pale Ale",7,72.5549295774648,71,"yellow dog","Play Dead IPA","British Columbia","Port Moody","Canada",NA,NA,"2817 Murray St #1, Port Moody, BC V3H 1X3, Canada",-122.8487,49.27863
"Lambic & Geuze",5.7,59.6,6,"yellow dog","Yellow Dog Rollover Red Kettle Sour","British Columbia","Port Moody","Canada","Special",NA,"2817 Murray St #1, Port Moody, BC V3H 1X3, Canada",-122.8487,49.27863
"Porter",NA,62.2615384615385,13,"yellow dog","Yellow Dog Shake a Paw Smoked Porter","British Columbia","Port Moody","Canada",NA,NA,"2817 Murray St #1, Port Moody, BC V3H 1X3, Canada",-122.8487,49.27863
"Hefeweizen",4.9,60.2,7,"yellow dog","Yellow Dog Take A Walk Wit","British Columbia","Port Moody","Canada",NA,NA,"2817 Murray St #1, Port Moody, BC V3H 1X3, Canada",-122.8487,49.27863
"Smoked",5,78.25,10,"yellow dog","Shake A Paw Smoked Porter","British Columbia","Port Moody","Canada",NA,NA,"2817 Murray St #1, Port Moody, BC V3H 1X3, Canada",-122.8487,49.27863
